GEO_ID,NAME,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,,,,,,,,,,,,,,,B25014_013M
Geography,Geographic Area Name,Estimate!!Total:!!Renter occupied:,Margin of Error!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.50 or less occupants per room,Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room,,,,,,,,,,,,,,,Margin of Error!!Total:!!Renter occupied:!!2.01 or more occupants per room
310M700US13900,"Bismarck, ND Metro Area",15543,911,11101,826,4004,646,302,139,124,91,12,,,,,,,,,,,,,,,19
310M700US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",26043,991,16665,800,8518,717,557,254,162,91,141,,,,,,,,,,,,,,,126
310M700US14010,"Bloomington, IL Metro Area",24516,1065,17452,1144,6459,591,227,104,361,323,17,,,,,,,,,,,,,,,28
310M700US14020,"Bloomington, IN Metro Area",28875,954,19490,932,8800,741,406,204,179,112,0,,,,,,,,,,,,,,,30
310M700US14260,"Boise City, ID Metro Area",83566,2155,50911,1757,28172,1306,3530,518,731,194,222,,,,,,,,,,,,,,,117
310M700US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",746120,5948,446849,4916,266059,4179,18828,1274,12065,1073,2319,,,,,,,,,,,,,,,635
310M700US14500,"Boulder, CO Metro Area",52108,1344,33533,1348,17254,945,814,204,434,160,73,,,,,,,,,,,,,,,72
310M700US14540,"Bowling Green, KY Metro Area",28944,1120,18024,1021,8820,797,1514,421,545,288,41,,,,,,,,,,,,,,,49
310M700US14580,"Bozeman, MT Metro Area",19945,709,12934,770,6416,554,323,139,249,141,23,,,,,,,,,,,,,,,36
310M700US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",32416,1250,19692,1021,11634,864,652,177,324,139,114,,,,,,,,,,,,,,,87
310M700US14860,"Bridgeport-Stamford-Danbury, CT Metro Area",120606,2007,67590,1820,45463,1740,4712,620,2243,470,598,,,,,,,,,,,,,,,265
310M700US15180,"Brownsville-Harlingen, TX Metro Area",48155,1526,19626,1146,21260,1167,4514,634,2154,430,601,,,,,,,,,,,,,,,203
310M700US15260,"Brunswick-St. Simons, GA Metro Area",14187,836,8881,755,4726,692,408,233,107,109,65,,,,,,,,,,,,,,,96
310M700US15380,"Buffalo-Cheektowaga, NY Metro Area",166514,2711,126020,2492,36701,1659,2274,403,1346,348,173,,,,,,,,,,,,,,,99
310M700US15500,"Burlington, NC Metro Area",24519,1118,16637,1081,7129,948,559,192,145,85,49,,,,,,,,,,,,,,,43
