"GEO_ID","NAME","B20004_001E","B20004_001M","B20004_002E","B20004_002M","B20004_003E","B20004_003M","B20004_004E","B20004_004M","B20004_005E","B20004_005M","B20004_006E","B20004_006M","B20004_007E","B20004_007M","B20004_008E","B20004_008M","B20004_009E","B20004_009M","B20004_010E","B20004_010M","B20004_011E","B20004_011M","B20004_012E","B20004_012M","B20004_013E","B20004_013M","B20004_014E","B20004_014M","B20004_015E","B20004_015M","B20004_016E","B20004_016M","B20004_017E","B20004_017M","B20004_018E","B20004_018M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than high school graduate","Margin of Error!!Total:!!Male:!!Less than high school graduate","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college or associate's degree","Margin of Error!!Total:!!Male:!!Some college or associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than high school graduate","Margin of Error!!Total:!!Female:!!Less than high school graduate","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college or associate's degree","Margin of Error!!Total:!!Female:!!Some college or associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!Graduate or professional degree",
"310M700US37140","Paducah, KY-IL Metro Area","45303","2093","29367","5209","33963","2406","41544","1761","66305","4782","68069","3945","57857","2719","31875","14934","45317","5658","56547","3700","89773","12501","89722","11168","35653","1444","27155","5401","26093","2280","33881","2057","53273","4999","58546","5265",
"310M700US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","47596","1067","30693","1989","35993","792","41516","809","63523","2351","91177","3623","56964","1506","33139","4308","41107","1245","51877","1960","83948","3321","111725","8847","39717","1065","26104","4455","30458","1346","35033","1036","50238","1452","65281","2714",
"310M700US37460","Panama City-Panama City Beach, FL Metro Area","45065","1269","33639","2908","36813","1128","42340","1835","58521","5872","73996","11587","51913","1528","42844","3900","42529","2008","51738","1947","78470","7517","102633","12443","36947","1067","24726","2763","29536","2306","34574","1833","48363","2912","60085","4107",
"310M700US37620","Parkersburg-Vienna, WV Metro Area","44201","2011","24142","3096","34041","2368","42834","3137","56123","5197","73192","3719","50449","1963","29544","6938","41386","4501","52020","4618","73018","9030","85093","16687","38309","2941","20424","1493","24664","3296","36167","3290","50227","2815","63518","4676",
"310M700US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","46522","838","30384","2257","35475","1009","43620","1704","59094","2769","76780","3961","53020","1510","34457","3097","41006","1375","52486","2113","72954","2827","98128","6146","39935","1158","21801","3697","29496","1245","35974","1185","51236","1511","62923","3226",
"310M700US37900","Peoria, IL Metro Area","51412","851","28339","1988","39599","1816","46246","1162","64912","2046","83326","3769","62501","1341","36072","2839","48808","1448","60232","1544","88304","3375","105846","6112","42035","760","20795","6103","31666","1097","37322","1527","52979","1820","70655","2372",
"310M700US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","60921","246","32760","830","42177","381","50411","540","77450","645","95960","707","70155","453","37908","1320","49687","542","60113","730","90643","825","115908","1830","52904","362","25854","1095","35103","514","43109","511","66241","667","84499","878",
"310M700US38060","Phoenix-Mesa-Chandler, AZ Metro Area","54164","292","35792","514","42359","416","50129","421","71369","756","88486","1265","61109","294","40453","629","47844","599","58144","732","85711","1037","108771","2186","47686","321","28758","750","36493","421","43536","523","59642","736","74296","1000",
"310M700US38240","Pinehurst-Southern Pines, NC Metro Area","52992","1724","29278","4301","40446","4945","42782","3150","65130","5400","93157","8553","61196","1459","29578","4693","45749","2127","54839","4231","81587","7564","109495","10736","42519","2960","28686","11668","28560","10376","32549","3521","53247","3274","73060","7579",
"310M700US38300","Pittsburgh, PA Metro Area","54516","437","30650","1484","39584","574","47637","532","67896","1033","85085","1448","63706","731","37689","2151","48526","575","57207","1055","82889","1305","103006","1437","45646","505","22808","1597","31082","450","39844","646","57121","1211","73989","1491",
"310M700US38340","Pittsfield, MA Metro Area","52422","2223","41984","3985","42352","2494","44121","2115","64881","3458","83290","5231","60910","1957","44141","4379","48265","4051","51875","6653","75625","9856","100458","11789","46664","2504","38056","26743","33896","4304","40790","2725","57810","5776","74871","6520",
"310M700US38540","Pocatello, ID Metro Area","44568","1735","37780","5928","34305","3548","40430","1953","52216","2279","76669","5289","52069","3076","45788","11671","42807","3299","49854","6261","63069","6530","87083","11186","37372","2206","32917","10693","26112","4863","35034","2775","48158","3291","70837","5832",
"310M700US38660","Ponce, PR Metro Area","20840","583","10511","1243","16800","850","18819","565","28022","1105","35228","2151","21309","743","11399","1613","18192","847","20985","952","31279","2241","42979","4985","20287","776","8523","1371","14243","769","16622","947","26595","1269","30506","1853",
"310M700US38860","Portland-South Portland, ME Metro Area","56650","741","37849","4402","44485","1514","49984","1080","65086","1402","81428","1923","64272","1108","44202","2855","50820","1393","58521","1934","76075","2651","99201","2830","49448","881","30379","3603","36200","1339","41848","1587","56180","2028","71751","2700",
"310M700US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","59967","452","36328","570","44171","668","51434","570","74773","1230","96528","1361","68049","941","40400","922","51127","882","60670","703","89787","2028","113691","3061","51025","534","30271","1290","36029","868","43749","691","62192","1154","84746","1846",
"310M700US38940","Port St. Lucie, FL Metro Area","45172","1306","32100","1641","37453","1614","42115","1389","58603","2304","71881","4433","51720","1367","35870","1987","42588","2865","54392","2006","68467","7541","91179","13450","37519","1636","24371","2515","31268","1803","34991","1497","53263","2663","63767","4508",
"310M700US39150","Prescott Valley-Prescott, AZ Metro Area","44235","1387","35514","1881","39327","3115","41868","2323","53036","3954","67240","7153","49262","1866","36634","1177","45694","3288","47004","3508","65379","7207","77147","10261","39866","2464","29176","5144","34230","1849","36693","3398","45798","2818","60348","4027",
"310M700US39300","Providence-Warwick, RI-MA Metro Area","57708","669","36825","1283","45350","856","51730","729","72411","1055","92128","1227","65315","689","43269","1665","52642","1050","61807","1172","85791","1555","104913","2612","50026","551","30300","945","36921","880","45095","1061","62428","1123","84169","1796",
"310M700US39340","Provo-Orem-Lehi, UT Metro Area","54785","857","40010","4258","41230","1045","46421","1292","62791","1487","97144","3043","73582","1361","46913","4023","51166","1753","63142","1850","88035","3011","120940","1953","36448","620","27523","4073","31123","905","32974","1438","40693","1755","65884","2956",
