"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"15260","Brunswick, GA",".",".",".",".","0.06","0.055",".",".",".","17","7.4",".",".","."
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","1.1","0.7","38","9","0.08","0.068","4","1","0","15","6.6","24","12","."
"15540","Burlington-South Burlington, VT","0.1","0",".",".","0.07","0.061",".",".",".","13","4.1","18","6","."
"15580","Butte-Silver Bow, MT",".",".",".",".",".",".",".",".",".","48","10.7","109","22","."
"15620","Cadillac, MI",".",".",".","1","0.07","0.062",".",".",".","11","3.7",".",".","."
"15700","Cambridge, MD",".",".",".",".","0.08","0.065","1","1","0","13","5.6",".",".","."
"15860","Ca¤on City, CO",".",".",".",".",".",".",".",".",".",".",".","69","17","."
"15940","Canton-Massillon, OH",".",".",".",".","0.07","0.067",".",".",".","22","9.1","46","19","0"
"15980","Cape Coral-Fort Myers, FL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"16100","Carlsbad-Artesia, NM",".",".","34","5","0.1","0.084",".",".",".",".",".",".",".","."
"16180","Carson City, NV",".",".",".",".","0.08","0.067",".",".",".","15","6.1",".",".","."
"16220","Casper, WY",".",".","34","4","0.08","0.073","9","2","1","15","3.8",".",".","."
"16260","Cedar City, UT",".",".","31","6","0.07","0.063",".",".",".",".",".",".",".","."
"16300","Cedar Rapids, IA",".",".",".",".","0.07","0.059","13","2","0","18","7.8","62","20","."
"16540","Chambersburg-Waynesboro, PA",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"16580","Champaign-Urbana, IL","0.4","0.3",".",".","0.08","0.067","3","2","1","14","6.2",".",".","."
"16620","Charleston, WV","1.2","0.8",".",".","0.07","0.059","3","1","0","16","6.9",".",".","."
"16700","Charleston-North Charleston, SC",".",".","32","6","0.07","0.06","5","1","0","14","7.3",".",".","."
"16740","Charlotte-Concord-Gastonia, NC-SC","1.7","1.5","36","13","0.09","0.071","2","1","0","17","9.2","38","14","."
"16820","Charlottesville, VA",".",".",".",".","0.06","0.057",".",".",".","16","6.6",".",".","."
"16860","Chattanooga, TN-GA",".",".",".",".","0.09","0.07",".",".",".","19","8.4",".",".","."
"16940","Cheyenne, WY","0.7","0.3","25","3","0.07","0.066","2","1","1","23","4.9","57","13","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","2.2","1.1","57","19","0.1","0.08","51","15","1","20","9.3","136","26","0.09"
"17020","Chico, CA","2.8","1.4","25","4","0.08","0.067",".",".",".","25","6.8","76","20","."
"17140","Cincinnati, OH-KY-IN","1.7","1.2","50","17","0.09","0.073","18","5","1","20","9.5","69","25","."
"17200","Claremont-Lebanon, NH-VT",".",".",".",".","0.07","0.058",".",".",".","13","4.7",".",".","."
"17220","Clarksburg, WV",".",".",".",".",".",".",".",".",".","13","6.3",".",".","."
"17300","Clarksville, TN-KY",".",".",".",".","0.07","0.064",".",".",".","16","7",".",".","."
"17340","Clearlake, CA",".",".",".",".","0.08","0.05",".",".",".","7","3.2","19","10","."
"17380","Cleveland, MS",".",".",".",".","0.07","0.06",".",".",".","17","7.9",".",".","."
"17460","Cleveland-Elyria, OH","5.9","2.2","41","9","0.09","0.072","27","6","1","28","11.5","113","28","0.04"
"17540","Clinton, IA",".",".",".",".","0.07","0.063","17","6","1","17","7.5",".",".","."
"17780","College Station-Bryan, TX",".",".",".",".",".",".","39","14","3","26","8.2",".",".","."
"17820","Colorado Springs, CO","1.1","0.6",".",".","0.09","0.082",".",".",".","17","5.7","30","15","."
"17860","Columbia, MO",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"17900","Columbia, SC","0.9","0.6","28","3","0.07","0.06","1","1","0","15","7.5","43","15","."
"17980","Columbus, GA-AL",".",".",".",".","0.07","0.06",".",".",".","22","9.1",".",".","."
"18020","Columbus, IN",".",".",".",".","0.08","0.066",".",".",".","13","6.6",".",".","."
"18140","Columbus, OH","1.8","1.1","43","8","0.08","0.069","3","1","0","23","9.6","106","31","0.01"
"18180","Concord, NH",".",".",".",".","0.07","0.061","31","13","1",".",".",".",".","."
"18260","Cookeville, TN",".",".",".",".",".",".",".",".",".","13","6.1",".",".","."
"18500","Corning, NY","0.4","0.3",".",".","0.06","0.058","1","1","0","13","4.7",".",".","."
"18580","Corpus Christi, TX",".",".",".",".","0.08","0.065","19","3","0","34","10.3",".",".","."
"18620","Corsicana, TX",".",".","26","2","0.09","0.073","85","22","2","25","8.5",".",".","."
"18880","Crestview-Fort Walton Beach-Destin, FL",".",".",".",".","0.07","0.061",".",".",".",".",".","34","15","."
"19100","Dallas-Fort Worth-Arlington, TX","2.2","1.4","48","11","0.12","0.089","11","3","0","27","10.2","68","27","0.08"
"19140","Dalton, GA",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"19300","Daphne-Fairhope-Foley, AL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"19340","Davenport-Moline-Rock Island, IA-IL","0.7","0.5","27","5","0.07","0.062","6","1","0","18","7.1","95","32","."
"19380","Dayton, OH","0.5","0.3",".",".","0.09","0.072","7","3","0","17","7.7","42","15","."
"19460","Decatur, AL",".",".",".",".","0.07","0.062",".",".",".","15","7.3",".",".","."
"19500","Decatur, IL",".",".",".",".","0.07","0.062","80","24","2","16","7.5",".",".","."
"19660","Deltona-Daytona Beach-Ormond Beach, FL",".",".",".",".","0.06","0.059",".",".",".","13","6.8","38","16","."
"19700","Deming, NM",".",".",".",".",".",".",".",".",".",".",".","189","24","."
