"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"310M700US31700","Manchester-Nashua, NH Metro Area","193323","2500","5558","886","16897","885","28003","1437","27800","1438","26598","1467","15736","1075","23214","1526","7128","759","7536","667","15380","1055","13991","958","5482","657",
"310M700US31740","Manhattan, KS Metro Area","64563","1313","3075","435","16360","945","14510","909","10041","732","6760","785","2749","396","4954","558","813","212","995","310","2020","480","1102","327","1184","428",
"310M700US31860","Mankato, MN Metro Area","49576","921","2899","366","10341","862","12859","787","9855","705","5085","401","1861","210","2543","329","762","173","447","97","1204","239","1135","235","585","116",
"310M700US31900","Mansfield, OH Metro Area","50041","1184","2571","518","7771","667","8243","618","9694","764","8012","816","3034","461","3478","505","943","254","872","283","1602","343","2622","448","1199","268",
"310M700US32420","Mayagüez, PR Metro Area","60684","1781","855","226","5587","649","10149","993","11537","969","10102","774","3185","462","8122","829","1330","302","2659","471","3399","573","1960","409","1799","437",
"310M700US32580","McAllen-Edinburg-Mission, TX Metro Area","313630","4150","11328","932","38153","2168","50526","2356","55197","2308","52768","2013","20250","1401","45755","2630","5589","802","7296","908","12504","1154","8024","806","6240","831",
"310M700US32780","Medford, OR Metro Area","85435","1773","3129","556","13633","1362","16711","1336","18034","1184","13312","1033","5371","646","7239","799","2130","468","1195","266","1923","356","1605","335","1153","254",
"310M700US32820","Memphis, TN-MS-AR Metro Area","553545","4990","12443","1121","48042","2158","62679","2491","85145","2602","107840","3323","47641","2182","90965","3172","19443","1485","20107","1370","37229","1851","14944","1390","7067","769",
"310M700US32900","Merced, CA Metro Area","103732","2061","4165","617","14419","1166","17161","1102","14315","1055","10800","939","3770","468","11042","883","1467","260","2385","368","6638","719","7785","784","9785","884",
"310M700US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","2607045","9744","38082","2043","138830","3573","261978","3996","349505","5219","415207","6685","184705","4791","472644","6595","91407","2661","135299","3454","262281","4880","188633","4631","68474","2304",
"310M700US33140","Michigan City-La Porte, IN Metro Area","44175","1089","1153","255","5316","600","7875","745","6252","620","5908","546","3617","513","4500","524","1613","280","1636","315","3299","547","1751","363","1255","385",
"310M700US33220","Midland, MI Metro Area","33317","838","994","199","4879","408","6174","488","4833","440","4061","455","2850","414","3847","433","983","191","1119","248","1467","243","857","218","1253","223",
"310M700US33260","Midland, TX Metro Area","83769","1676","3136","740","10842","1103","13281","1022","18380","1461","12566","1323","4072","838","10296","1011","1846","486","1731","451","3460","636","2095","458","2064","528",
"310M700US33340","Milwaukee-Waukesha, WI Metro Area","665030","4446","15727","846","66257","2177","99722","2492","117773","2273","115799","2737","56608","1957","93010","2459","23229","1221","20702","1158","30199","1209","16869","1092","9135","743",
"310M700US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1543647","6374","38623","1479","139197","2671","207006","3414","264587","3298","258337","3780","136534","3079","214114","3676","59074","1949","60022","2042","97686","2699","47758","1720","20709","1141",
"310M700US33500","Minot, ND Metro Area","37034","874","2207","360","7967","799","8066","709","6024","524","4258","498","1556","271","2667","437","344","160","347","108","886","231","1489","337","1223","279",
"310M700US33540","Missoula, MT Metro Area","58598","1195","2391","431","9547","964","13483","999","13303","1017","8132","866","2426","404","4153","556","605","168","809","214","1627","311","1227","294","895","260",
"310M700US33660","Mobile, AL Metro Area","162567","2059","2823","388","11579","1034","17771","1232","28479","1443","30951","1628","12566","987","26925","1262","5120","642","5048","480","11027","912","6388","849","3890","679",
"310M700US33700","Modesto, CA Metro Area","214320","2461","8273","850","22030","1273","29595","1425","31529","1406","28917","1610","12447","860","25178","1109","5049","703","7385","706","13837","1172","11746","1064","18334","1124",
"310M700US33740","Monroe, LA Metro Area","85547","1622","2965","542","8718","840","15779","1056","17468","1346","12012","1001","5256","855","9364","890","1562","278","1582","322","4866","582","3831","566","2144","376",
"310M700US33780","Monroe, MI Metro Area","64241","1556","1775","339","6694","660","8188","624","7883","751","8593","653","4833","520","9391","874","2967","409","3600","480","6379","621","3016","444","922","234",
"310M700US33860","Montgomery, AL Metro Area","155439","2690","2982","557","12202","1017","20848","1381","29733","1557","26658","1510","12467","881","23526","1306","5481","737","4594","649","10159","837","3440","550","3349","584",
"310M700US34060","Morgantown, WV Metro Area","59820","1362","2201","433","7468","851","9909","961","11024","885","8721","689","3378","410","6476","718","1210","290","1614","266","3926","522","2720","411","1173","245",
"310M700US34100","Morristown, TN Metro Area","51266","1330","1037","293","5720","751","8143","833","7663","796","6111","724","3515","452","7034","773","1719","422","1907","440","3726","555","3625","590","1066","304",
"310M700US34580","Mount Vernon-Anacortes, WA Metro Area","50629","942","2110","343","6742","594","7827","610","7261","602","5068","525","3084","390","6441","572","1285","241","1966","354","3419","438","3504","549","1922","345",
"310M700US34620","Muncie, IN Metro Area","47875","1150","2253","409","8708","771","9693","726","8918","708","5094","481","2190","328","3254","421","1148","257","1052","231","1966","298","2567","442","1032","216",
"310M700US34740","Muskegon-Norton Shores, MI Metro Area","71121","1467","2495","439","8941","741","12141","741","14106","1017","11070","811","5159","621","5891","639","1994","326","1675","271","4514","508","2252","419","883","187",
"310M700US34820","Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","144632","2685","4374","695","13120","995","21857","1659","26910","1598","26330","1557","10073","1000","19918","1453","4066","611","4016","620","7631","777","3515","618","2822","469",
