GEO_ID,NAME,Median_AQI
310M700US10180,"Abilene, TX Metro Area",
310M700US10380,"Aguadilla, PR Metro Area",
310M700US10420,"Akron, OH Metro Area",45.0
310M700US10500,"Albany, GA Metro Area",45.0
310M700US10540,"Albany, OR Metro Area",25.0
310M700US10580,"Albany-Schenectady-Troy, NY Metro Area",37.0
310M700US10740,"Albuquerque, NM Metro Area",61.0
310M700US10780,"Alexandria, LA Metro Area",39.0
310M700US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",41.0
310M700US11020,"Altoona, PA Metro Area",37.0
310M700US11100,"Amarillo, TX Metro Area",44.0
310M700US11180,"Ames, IA Metro Area",
310M700US11200,"Amherst Town-Northampton, MA Metro Area",
310M700US11260,"Anchorage, AK Metro Area",26.0
310M700US11460,"Ann Arbor, MI Metro Area",43.0
310M700US11500,"Anniston-Oxford, AL Metro Area",
310M700US11540,"Appleton, WI Metro Area",37.0
310M700US11640,"Arecibo, PR Metro Area",
310M700US11700,"Asheville, NC Metro Area",48.0
310M700US12020,"Athens-Clarke County, GA Metro Area",46.0
310M700US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",56.0
310M700US12100,"Atlantic City-Hammonton, NJ Metro Area",35.0
310M700US12220,"Auburn-Opelika, AL Metro Area",
310M700US12260,"Augusta-Richmond County, GA-SC Metro Area",52.0
310M700US12420,"Austin-Round Rock-San Marcos, TX Metro Area",52.0
310M700US12540,"Bakersfield-Delano, CA Metro Area",72.0
310M700US12580,"Baltimore-Columbia-Towson, MD Metro Area",47.0
310M700US12620,"Bangor, ME Metro Area",33.0
310M700US12700,"Barnstable Town, MA Metro Area",36.0
310M700US12940,"Baton Rouge, LA Metro Area",53.0
310M700US12980,"Battle Creek, MI Metro Area",
310M700US13020,"Bay City, MI Metro Area",37.0
310M700US13140,"Beaumont-Port Arthur, TX Metro Area",54.0
310M700US13220,"Beckley, WV Metro Area",
310M700US13380,"Bellingham, WA Metro Area",33.0
310M700US13460,"Bend, OR Metro Area",39.0
310M700US13740,"Billings, MT Metro Area",39.0
310M700US13780,"Binghamton, NY Metro Area",
310M700US13820,"Birmingham, AL Metro Area",57.0
310M700US13900,"Bismarck, ND Metro Area",40.0
310M700US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",38.0
310M700US14010,"Bloomington, IL Metro Area",44.0
310M700US14020,"Bloomington, IN Metro Area",43.0
310M700US14260,"Boise City, ID Metro Area",54.0
310M700US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",43.0
310M700US14500,"Boulder, CO Metro Area",49.0
310M700US14540,"Bowling Green, KY Metro Area",41.0
310M700US14580,"Bozeman, MT Metro Area",18.0
310M700US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",19.0
310M700US14860,"Bridgeport-Stamford-Danbury, CT Metro Area",42.0
310M700US15180,"Brownsville-Harlingen, TX Metro Area",61.0
310M700US15260,"Brunswick-St. Simons, GA Metro Area",39.0
310M700US15380,"Buffalo-Cheektowaga, NY Metro Area",44.0
310M700US15500,"Burlington, NC Metro Area",
310M700US15540,"Burlington-South Burlington, VT Metro Area",37.0
310M700US15940,"Canton-Massillon, OH Metro Area",48.0
310M700US15980,"Cape Coral-Fort Myers, FL Metro Area",37.0
310M700US16020,"Cape Girardeau, MO-IL Metro Area",
310M700US16180,"Carson City, NV Metro Area",45.0
310M700US16220,"Casper, WY Metro Area",43.0
310M700US16300,"Cedar Rapids, IA Metro Area",44.0
310M700US16540,"Chambersburg, PA Metro Area",35.0
310M700US16580,"Champaign-Urbana, IL Metro Area",44.0
310M700US16620,"Charleston, WV Metro Area",40.0
310M700US16700,"Charleston-North Charleston, SC Metro Area",44.0
310M700US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",53.0
310M700US16820,"Charlottesville, VA Metro Area",40.0
310M700US16860,"Chattanooga, TN-GA Metro Area",52.0
310M700US16940,"Cheyenne, WY Metro Area",45.0
310M700US16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",56.0
310M700US17020,"Chico, CA Metro Area",46.0
310M700US17140,"Cincinnati, OH-KY-IN Metro Area",54.0
310M700US17300,"Clarksville, TN-KY Metro Area",42.0
310M700US17410,"Cleveland, OH Metro Area",
310M700US17420,"Cleveland, TN Metro Area",
310M700US17660,"Coeur d'Alene, ID Metro Area",24.0
310M700US17780,"College Station-Bryan, TX Metro Area",39.0
310M700US17820,"Colorado Springs, CO Metro Area",49.0
310M700US17860,"Columbia, MO Metro Area",39.0
310M700US17900,"Columbia, SC Metro Area",47.0
310M700US17980,"Columbus, GA-AL Metro Area",49.0
310M700US18020,"Columbus, IN Metro Area",44.0
310M700US18140,"Columbus, OH Metro Area",54.0
310M700US18580,"Corpus Christi, TX Metro Area",51.0
310M700US18700,"Corvallis, OR Metro Area",
310M700US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",36.0
310M700US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",59.0
310M700US19140,"Dalton, GA Metro Area",41.0
310M700US19300,"Daphne-Fairhope-Foley, AL Metro Area",40.0
310M700US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",46.0
310M700US19430,"Dayton-Kettering-Beavercreek, OH Metro Area",
310M700US19460,"Decatur, AL Metro Area",44.0
310M700US19500,"Decatur, IL Metro Area",43.0
310M700US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",41.0
310M700US19740,"Denver-Aurora-Centennial, CO Metro Area",64.0
310M700US19780,"Des Moines-West Des Moines, IA Metro Area",45.0
310M700US19820,"Detroit-Warren-Dearborn, MI Metro Area",55.0
310M700US20020,"Dothan, AL Metro Area",
310M700US20100,"Dover, DE Metro Area",41.0
310M700US20220,"Dubuque, IA Metro Area",
310M700US20260,"Duluth, MN-WI Metro Area",39.0
310M700US20500,"Durham-Chapel Hill, NC Metro Area",51.0
310M700US20580,"Eagle Pass, TX Metro Area",37.0
310M700US20740,"Eau Claire, WI Metro Area",38.0
310M700US20940,"El Centro, CA Metro Area",63.0
310M700US21060,"Elizabethtown, KY Metro Area",41.0
310M700US21140,"Elkhart-Goshen, IN Metro Area",45.0
310M700US21300,"Elmira, NY Metro Area",
310M700US21340,"El Paso, TX Metro Area",67.0
310M700US21420,"Enid, OK Metro Area",
310M700US21500,"Erie, PA Metro Area",38.0
310M700US21660,"Eugene-Springfield, OR Metro Area",44.0
310M700US21780,"Evansville, IN Metro Area",46.0
310M700US21820,"Fairbanks-College, AK Metro Area",42.0
310M700US22020,"Fargo, ND-MN Metro Area",38.0
310M700US22140,"Farmington, NM Metro Area",48.0
310M700US22180,"Fayetteville, NC Metro Area",46.0
310M700US22220,"Fayetteville-Springdale-Rogers, AR Metro Area",41.0
310M700US22380,"Flagstaff, AZ Metro Area",46.0
310M700US22420,"Flint, MI Metro Area",42.0
310M700US22500,"Florence, SC Metro Area",47.0
310M700US22520,"Florence-Muscle Shoals, AL Metro Area",
310M700US22540,"Fond du Lac, WI Metro Area",38.0
310M700US22660,"Fort Collins-Loveland, CO Metro Area",54.0
310M700US22900,"Fort Smith, AR-OK Metro Area",44.0
310M700US23060,"Fort Wayne, IN Metro Area",47.0
310M700US23420,"Fresno, CA Metro Area",67.0
310M700US23460,"Gadsden, AL Metro Area",47.0
310M700US23540,"Gainesville, FL Metro Area",38.0
310M700US23580,"Gainesville, GA Metro Area",52.0
310M700US23900,"Gettysburg, PA Metro Area",44.0
310M700US24020,"Glens Falls, NY Metro Area",
310M700US24140,"Goldsboro, NC Metro Area",
310M700US24220,"Grand Forks, ND-MN Metro Area",
310M700US24260,"Grand Island, NE Metro Area",32.0
310M700US24300,"Grand Junction, CO Metro Area",48.0
